,,Lowes.com,,,,,,,,,,,,,,,,
,MODEL MATCH,BRAND,MODEL NUMBER,MSRP,MAP,MODEL CHECKED,MSRP CHECK,PRICE CHECK,NET PRICE CHECK,AVAILABLE CHECK,NEXT AVAILABLE CHECK,ETA CHECK,Collected @,Status,MSRP Difference,,Status,Mean
,FALSE,GE APPLIANCES,GDF510PSJSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PSDSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PMJSA,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PMDSA,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PGRWW,$549.00,$549.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PGRBB,$549.00,$549.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PGMWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PGMBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PGJWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PGJBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PGDWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PGDBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF450PSRSS,$529.00,$529.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF450PGRWW,$449.00,$449.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF450PGRBB,$449.00,$449.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE25EYKFS,"$2,099.00","$1,665.00",,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE25ESKSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE25EGKWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE25EGKBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE23GSHSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE23GGHWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE23GGHBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE23ETEWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE23ETEBB,,,,,,,,,,,Something went wrong,,,,
